Indicador,Nombre,Descripción,Periodicidad,,
24185,Ventas,Ventas,Diaria,,
,Origen de la participación del BCCR en el mercado cambiario,Origen de la participación del BCCR en el mercado cambiario,Diaria,,
25115,Origen de la participación del BCCR en el mercado cambiario,Origen de la participación del BCCR en el mercado cambiario,Diaria,,
,Operaciones de estabilización,Operaciones de estabilización,Diaria,,
25117,Compras,Compras,Diaria,,
25118,Ventas,Ventas,Diaria,,
,Operaciones SPNB con otros participantes,Operaciones SPNB con otros participantes,Diaria,,
25120,Neto de operaciones directas con el BCCR,Neto de operaciones directas con el BCCR,Diaria,,
25124,Neto de operaciones en MONEX,Neto de operaciones en MONEX,Diaria,,
25127,Neto con bancos estatales,Neto con bancos estatales,Diaria,,
,Operaciones propias en MONEX,Operaciones propias en MONEX,Diaria,,
25131,Compra en MONEX,Compra en MONEX,Diaria,,
25132,Venta en MONEX,Venta en MONEX,Diaria,,
,Destino de la participación del BCCR en el mercado cambiario,Destino de la participación del BCCR en el mercado cambiario,Diaria,,
25134,Neto Sector Público No Bancario (SPNB),Neto Sector Público No Bancario (SPNB),Diaria,,
25135,Operaciones cambiarias,Operaciones cambiarias,Diaria,,
25136,Programa de reservas,Programa de reservas,Diaria,,
,Programa de Acumulación de RIN,Programa de Acumulación de RIN,Diaria,,
25138,Programa I,Programa I,Diaria,,
25139,Programa II,Programa II,Diaria,,
25140,Programa III,Programa III,Diaria,,
25141,Programa IV,Programa IV,Diaria,,
3351,Riqueza financiera del sector privado,Riqueza financiera del sector privado,Mensual,,
3352,Riqueza financiera al sector privado cobertura SBN m/n,Riqueza financiera al sector privado cobertura SBN m/n,Mensual,,
3354,Depósitos bancarios,Depósitos bancarios,Mensual,,
25142,Depósitos bancarios MN,Depósitos bancarios MN,Mensual,,
25143,Depósitos bancarios ME,Depósitos bancarios ME,Mensual,,
3355,BEM,BEM,Mensual,,
25144,BEM MN,BEM MN,Mensual,,
25145,BEM ME,BEM ME,Mensual,,
3356,DEP,DEP,Mensual,,
3357,SICP,SICP,Mensual,,
3358,Bonos fiscales,Bonos fiscales,Mensual,,
25146,Bonos fiscales MN,Bonos fiscales,Mensual,,
25147,Bonos fiscales ME,Bonos fiscales,Mensual,,
3353,Riqueza financiera m/e,Riqueza financiera m/e,Mensual,,
21759,Riqueza financiera del sector privado cobertuda SFN m/n,Riqueza financiera del sector privado cobertuda SFN m/n,Mensual,,
21760,Depósitos bancarios,Depósitos bancarios,Mensual,,
23564,Depósitos bancarios MN,Depósitos bancarios MN,Mensual,,
23565,Depósitos bancarios ME,Depósitos bancarios ME,Mensual,,
21761,BEM,BEM,Mensual,,
25148,BEM MN,BEM,Mensual,,
25149,BEM ME,BEM,Mensual,,
21762,DEP,DEP,Mensual,,
21763,SICP,SICP,Mensual,,
21764,Bonos fiscales,Bonos fiscales,Mensual,,
25150,Bonos fiscales MN,Bonos fiscales,Mensual,,
25151,Bonos fiscales ME,Bonos fiscales,Mensual,,
21765,Riqueza financiera del Sector Bancario m/e,Riqueza financiera m/e,Mensual,,
,Encuesta mensual de Inflación y variación del Tipo de Cambio,Encuesta mensual de Inflación y variación del Tipo de Cambio y Proyecciones,Mensual,,
3379,Expectativa de Inflación para próximos 12 meses (Encuesta),Expectativa de Inflación para próximos 12 meses (Encuesta),Mensual,,
,Estadísticos,Estadísticos,Mensual,,
3808,Promedio,Promedio,Mensual,,
3809,Mediana,Mediana,Mensual,,
3810,Moda,Moda,Mensual,,
3811,Desviación estándar,Desviación estándar,Mensual,,
3812,Decil 1,Decil 1,Mensual,,
3813,Decil 9,Decil 9,Mensual,,
3814,N° de respuestas,N° de respuestas,Mensual,,
3403,Variación del tipo de cambio (anualizada),Variación del tipo de cambio (anualizada),Mensual,,
,Encuesta mensual,Encuesta mensual,Mensual,,
,Expectativa de variación tipo de cambio 3 meses,Expectativa de variación tipo de cambio 3 meses,Mensual,,
,Estadísticos,Estadísticos,Mensual,,
3820,Promedio,Promedio,Mensual,,
3821,Mediana,Mediana,Mensual,,
3822,Moda,Moda,Mensual,,
3823,Desviación estándar,Desviación estándar,Mensual,,
3824,Decil 1,Decil 1,Mensual,,
3825,Decil 9,Decil 9,Mensual,,
3826,N° de respuestas,N° de respuestas,Mensual,,
,Expectativa de variación tipo de cambio 6 meses,Expectativa de variación tipo de cambio 6 meses,Mensual,,
,Estadísticos,Estadísticos,Mensual,,
3828,Promedio,Promedio,Mensual,,
3829,Mediana,Mediana,Mensual,,
3830,Moda,Moda,Mensual,,
3831,Desviación estándar,Desviación estándar,Mensual,,
3832,Decil 1,Decil 1,Mensual,,
3833,Decil 9,Decil 9,Mensual,,
3834,N° de respuestas,N° de respuestas,Mensual,,
,Expectativa de variación tipo de cambio 12 meses,Expectativa de variación tipo de cambio 12 meses,Mensual,,
,Estadísticos,Estadísticos,Mensual,,
3836,Promedio,Promedio,Mensual,,
3837,Mediana,Mediana,Mensual,,
3838,Moda,Moda,Mensual,,
3839,Desviación estándar,Desviación estándar,Mensual,,
3840,Decil 1,Decil 1,Mensual,,
3841,Decil 9,Decil 9,Mensual,,
3842,N° de respuestas,N° de respuestas,Mensual,,
,Tasas para negociaciones en subasta (brutas),Tasas para negociaciones en subasta (brutas),Mensual,,
,Cero cupón,Cero cupón,Mensual,,
3093,A 6 meses plazo,A 6 meses plazo,Mensual,,
3094,A 9 meses plazo,A 9 meses plazo,Mensual,,
3095,A 12 meses plazo,A 12 meses plazo,Mensual,,
,Tasa fija,Tasa fija,Mensual,,
3097,A 2 años plazo,A 2 años plazo,Mensual,,
3098,A 3 años plazo,A 3 años plazo,Mensual,,
3099,A 5 años plazo,A 5 años plazo,Mensual,,
,Subasta Conjunta Títulos Tasa Variable,Subasta Conjunta Títulos Tasa Variable,Mensual,,
3422,Monto ofrecido,Monto ofrecido,Mensual,,
3421,Monto asignado,Monto asignado,Mensual,,
3424,10 años,10 años,Mensual,,
3426,15 años,15 años,Mensual,,
3456,Cuenta corriente,Cuenta corriente,Trimestral,,
3458,Bienes,Bienes,Trimestral,,
3462,Exportaciones FOB,Exportaciones FOB,Trimestral,,
3463,Importaciones FOB,Importaciones FOB,Trimestral,,
3459,Servicios,Servicios,Trimestral,,
3460,Renta,Renta,Trimestral,,
3461,Transferencias corrientes,Transferencias corrientes,Trimestral,,
3500,Créditos,Créditos,Trimestral,,
3502,Gobierno general,Gobierno general,Trimestral,,
3501,Débitos,Débitos,Trimestral,,
3504,Gobierno general,Gobierno general,Trimestral,,
3464,Créditos (exportaciones),Créditos (exportaciones),Trimestral,,
3466,Transportes,Transportes,Trimestral,,
3467,Viajes,Viajes,Trimestral,,
3468,Servicios de comunicaciones,Servicios de comunicaciones,Trimestral,,
3469,Servicios de construcción,Servicios de construcción,Trimestral,,
3470,Servicios de seguros,Servicios de seguros,Trimestral,,
3471,Servicios financieros,Servicios financieros,Trimestral,,
3472,Servicios de informática e información,Servicios de informática e información,Trimestral,,
3473,Regalías y derechos de licencias,Regalías y derechos de licencias,Trimestral,,
3474,Otros servicios empresariales,Otros servicios empresariales,Trimestral,,
3475,Servicios personales culturales y recreativos,Servicios personales culturales y recreativos,Trimestral,,
3476,Servicios del gobierno N.I.O.P.,Servicios del gobierno N.I.O.P.,Trimestral,,
3465,Débitos (importaciones),Débitos (importaciones),Trimestral,,
3477,Transportes,Transportes,Trimestral,,
3478,Viajes,Viajes,Trimestral,,
3479,Servicios de comunicaciones,Servicios de comunicaciones,Trimestral,,
3480,Servicios de construcción,Servicios de construcción,Trimestral,,
3481,Servicios de seguros,Servicios de seguros,Trimestral,,
3482,Servicios financieros,Servicios financieros,Trimestral,,
3483,Servicios de informática e información,Servicios de informática e información,Trimestral,,
3484,Regalías y derechos de licencias,Regalías y derechos de licencias,Trimestral,,
3485,Otros servicios empresariales,Otros servicios empresariales,Trimestral,,
3486,Servicios personales culturales y recreativos,Servicios personales culturales y recreativos,Trimestral,,
3487,Servicios del gobierno N.I.O.P.,Servicios del gobierno N.I.O.P.,Trimestral,,
3488,Crétidos,Crétidos,Trimestral,,
3494,Remuneración de empleados,Remuneración de empleados,Trimestral,,
3495,Renta de la inversión,Renta de la inversión,Trimestral,,
3496,Renta de la inversión directa,Renta de la inversión directa,Trimestral,,
3497,Renta de la inversión de cartera,Renta de la inversión de cartera,Trimestral,,
3498,Renta de la otra inversión,Renta de la otra inversión,Trimestral,,
3489,Débitos,Débitos,Trimestral,,
3490,Remuneración de empleados,Remuneración de empleados,Trimestral,,
3491,Renta de la inversión,Renta de la inversión,Trimestral,,
3492,Renta de la inversión directa,Renta de la inversión directa,Trimestral,,
3493,Renta de la inversión de cartera,Renta de la inversión de cartera,Trimestral,,
3499,Renta de la otra inversión,Renta de la otra inversión,Trimestral,,
3503,Otros sectores,Otros sectores,Trimestral,,
3506,Remesas familiares,Remesas familiares,Trimestral,,
3507,Otras transferencias,Otras transferencias,Trimestral,,
3505,Otros sectores,Otros sectores,Trimestral,,
3508,Remesas familiares,Remesas familiares,Trimestral,,
3509,Otras transferencias,Otras transferencias,Trimestral,,
3510,Cuenta de capital y financiera,Cuenta de capital y financiera,Trimestral,,
3511,Cuenta de capital,Cuenta de capital,Trimestral,,
3513,Transferencias de capital,Transferencias de capital,Trimestral,,
3515,Gobierno general,Gobierno general,Trimestral,,
3516,Otros sectores,Otros sectores,Trimestral,,
3514,Adquisición/enajenación de activos no financieros no produci,Adquisición/enajenación de activos no financieros no produci,Trimestral,,
3512,Cuenta financiera,Cuenta financiera,Trimestral,,
3517,Activos,Activos,Trimestral,,
3519,Inversión directa en el exterior,Inversión directa en el exterior,Trimestral,,
3520,Inversión de cartera,Inversión de cartera,Trimestral,,
3525,Títulos de participación en el capital,Títulos de participación en el capital,Trimestral,,
3526,Títulos de deuda,Títulos de deuda,Trimestral,,
3521,Otra inversión,Otra inversión,Trimestral,,
3527,Créditos comerciales,Créditos comerciales,Trimestral,,
3528,Préstamos,Préstamos,Trimestral,,
3529,Moneda y depósitos,Moneda y depósitos,Trimestral,,
3530,Otros activos,Otros activos,Trimestral,,
3518,Pasivos,Pasivos,Trimestral,,
3522,Inversión directa en la economía declarante,Inversión directa en la economía declarante,Trimestral,,
3523,Inversión de cartera,Inversión de cartera,Trimestral,,
3531,Títulos de participación en el capital,Títulos de participación en el capital,Trimestral,,
3532,Títulos de deuda,Títulos de deuda,Trimestral,,
3524,Otra inversión,Otra inversión,Trimestral,,
3533,Créditos comerciales,Créditos comerciales,Trimestral,,
3534,Préstamos,Préstamos,Trimestral,,
3535,Moneda y depósitos,Moneda y depósitos,Trimestral,,
3536,Otros pasivos,Otros pasivos,Trimestral,,
,Tasa de interés de política monetaria,Tasa de interés de política monetaria,Diaria,,
3540,Tasa de interés de política monetaria bruta,Tasa de interés de política monetaria bruta,Diaria,,
3541,Tasa política monetaria neta,Tasa política monetaria neta,Diaria,,
22248,Primera,Primera,Diaria,,
22249,Última,Última,Diaria,,
22253,Promedio ponderada sesión anterior,Promedio ponderada sesión anterior,Diaria,,
22290,Tasa de interés de facilidad permanente de crédito,Tasa de interés de facilidad permanente de crédito,Diaria,,
22291,Tasa de interés de facilidad permanente de depósito,Tasa de interés de facilidad permanente de depósito,Diaria,,
22296,Promedio ponderada sin BCCR,Promedio ponderada sin BCCR,Diaria,,
22298,Mínima,Mínima,Diaria,,
22299,Máxima,Máxima,Diaria,,
22860,Costo promedio de liquidez sesión,Costo promedio de liquidez sesión,Diaria,,
22861,Costo promedio de liquidez sesión anterior,Costo promedio de liquidez sesión anterior,Diaria,,
24381,Promedio sin BCCR,Promedio sin BCCR,Diaria,,
25581,Promedio con BCCR,Promedio con BCCR,Diaria,,
,Azúcar,Azúcar,Mensual,,
2015,Azúcar (Valor),Azúcar (Valor),Mensual,,
2016,Azúcar (Valor),Azúcar (Valor),Mensual,,
2017,Azúcar (Cantidad),Azúcar (Cantidad),Mensual,,
2018,Azúcar (Cantidad),Azúcar (Cantidad),Mensual,,
2019,Azúcar (Precio),Azúcar (Precio),Mensual,,
2020,Azúcar (Precio),Azúcar (Precio),Mensual,,
,Balance Comercial,Balance Comercial,Mensual,,
1988,Balance Comercial preliminar (FUES),Balance Comercial preliminar (FUES),Mensual,,
,Balance Comercial acumulado,Balance Comercial acumulado,Mensual,,
1994,Balance Comercial preliminar (FUES),Balance Comercial preliminar (FUES),Mensual,,
1997,Balance Comercial preliminar (FUES),Balance Comercial preliminar (FUES),Mensual,,
,Balanza de Pagos,Balanza de Pagos,Trimestral,,
1,Cuenta corriente,Cuenta corriente,Trimestral,,
2,Bienes,Bienes,Trimestral,,
3,Exportaciones FOB,Exportaciones FOB,Trimestral,,
4,Importaciones FOB,Importaciones FOB,Trimestral,,
5,Servicios,Servicios,Trimestral,,
6,Transportes,Transportes,Trimestral,,
7,Viajes,Viajes,Trimestral,,
8,Otros servicios,Otros servicios,Trimestral,,
9,Renta,Renta,Trimestral,,
10,Remuneración de empleados,Remuneración de empleados,Trimestral,,
11,Renta de la inversión,Renta de la inversión,Trimestral,,
12,Transferencias corrientes,Transferencias corrientes,Trimestral,,
13,Gobierno General,Gobierno General,Trimestral,,
14,Otros sectores,Otros sectores,Trimestral,,
15,Cuenta de capital y financiera,Cuenta de capital y financiera,Trimestral,,
16,Cuenta de capital,Cuenta de capital,Trimestral,,
17,Transferencias de capital,Transferencias de capital,Trimestral,,
18,Adquisición/enajenación de activos no financieros no produci,Adquisición/enajenación de activos no financieros no produci,Trimestral,,
31,Errores omisiones y capital no determinado,Errores omisiones y capital no determinado,Trimestral,,
32,Activos de reserva,Activos de reserva,Trimestral,,
,Balanza de Pagos (Acumulada),Balanza de Pagos (Acumulada),Trimestral,,
1773,Cuenta corriente,Cuenta corriente,Trimestral,,
1774,Bienes,Bienes,Trimestral,,
1775,Exportaciones FOB,Exportaciones FOB,Trimestral,,
1776,Importaciones FOB,Importaciones FOB,Trimestral,,
1777,Servicios,Servicios,Trimestral,,
1778,Transportes,Transportes,Trimestral,,
1779,Viajes,Viajes,Trimestral,,
1780,Otros servicios,Otros servicios,Trimestral,,
1781,Renta,Renta,Trimestral,,
1782,Remuneración de empleados,Remuneración de empleados,Trimestral,,
1783,Renta de la inversión,Renta de la inversión,Trimestral,,
1784,Transferencias corrientes,Transferencias corrientes,Trimestral,,
1785,Gobierno General,Gobierno General,Trimestral,,
1786,Otros sectores,Otros sectores,Trimestral,,
2885,Cuenta de capital y financiera,Cuenta de capital y financiera,Trimestral,,
2886,Cuenta de capital,Cuenta de capital,Trimestral,,
2887,Transferencias de capital,Transferencias de capital,Trimestral,,
2888,Adquisición/enajenación de activos no financieros no produci,Adquisición/enajenación de activos no financieros no produci,Trimestral,,
2889,Cuenta financiera,Cuenta financiera,Trimestral,,
2890,Inversión directa,Inversión directa,Trimestral,,
2891,En el extranjero,En el extranjero,Trimestral,,
2892,En la economía declarante,En la economía declarante,Trimestral,,
2893,Otra inversión,Otra inversión,Trimestral,,
2894,Créditos comerciales,Créditos comerciales,Trimestral,,
2895,Préstamos,Préstamos,Trimestral,,
2896,Moneda y depósitos,Moneda y depósitos,Trimestral,,
2897,Otros activos y pasivos,Otros activos y pasivos,Trimestral,,
2898,Inversión de cartera,Inversión de cartera,Trimestral,,
2899,Títulos de participación en el capital,Títulos de participación en el capital,Trimestral,,
2900,Títulos de deuda,Títulos de deuda,Trimestral,,
2901,Errores omisiones y capital no determinado,Errores omisiones y capital no determinado,Trimestral,,
2902,Activos de reserva,Activos de reserva,Trimestral,,
,Balanza de Pagos Desglosada,Balanza de Pagos Desglosada,Trimestral,,
3537,Activos de reserva,Activos de reserva,Trimestral,,
3538,Errores omisiones y capital no determinado,Errores omisiones y capital no determinado,Trimestral,,
,Banano,Banano,Mensual,,
2009,Banano (Valor),Banano (Valor),Mensual,,
2010,Banano (Valor),Banano (Valor),Mensual,,
2011,Banano (Cantidad),Banano (Cantidad),Mensual,,
2012,Banano (Cantidad),Banano (Cantidad),Mensual,,
2013,Banano (Precio),Banano (Precio),Mensual,,
2014,Banano (Precio),Banano (Precio),Mensual,,
,Base monetaria,Base monetaria,Mensual,,
1488,Base monetaria + SICP,Base monetaria + SICP,Mensual,,
3622,Base monetaria amplia,Base monetaria amplia,Mensual,,
1363,Base monetaria restringida,Base monetaria restringida,Mensual,,
,Bienes de consumo,Bienes de consumo,Mensual,,
2161,Total Regulares,Total Regulares,Mensual,,
2162,Total Regulares,Total Regulares,Mensual,,
2175,"Semi y no duraderos, regulares","Semi y no duraderos, regulares",Mensual,,
2176,"Semi y no duraderos, regulares","Semi y no duraderos, regulares",Mensual,,
,Bienes diversos,Bienes diversos,Mensual,,
2222,Regulares,Regulares,Mensual,,
2223,Regulares,Regulares,Mensual,,
,Café,Café,Mensual,,
2003,Café (Valor),Café (Valor),Mensual,,
2004,Café (Valor),Café (Valor),Mensual,,
2005,Café (Cantidad),Café (Cantidad),Mensual,,
2006,Café (Cantidad),Café (Cantidad),Mensual,,
2007,Café (Precio),Café (Precio),Mensual,,
2008,Café (Precio),Café (Precio),Mensual,,
,Carne,Carne,Mensual,,
2021,Carne (Valor),Carne (Valor),Mensual,,
2022,Carne (Valor),Carne (Valor),Mensual,,
2023,Carne (Cantidad),Carne (Cantidad),Mensual,,
2024,Carne (Cantidad),Carne (Cantidad),Mensual,,
2025,Carne (Precio),Carne (Precio),Mensual,,
2026,Carne (Precio),Carne (Precio),Mensual,,
,Combustibles y lubricantes,Combustibles y lubricantes,Mensual,,
2204,Regulares,Regulares,Mensual,,
2205,Regulares,Regulares,Mensual,,
,Cuasidinero,Cuasidinero,Mensual,,
1446,Sistema bancario nacional,Sistema bancario nacional,Mensual,,
1447,Cuasidinero m/e,Cuasidinero m/e,Mensual,,
1448,Cuasidinero m/n,Cuasidinero m/n,Mensual,,
1812,Cuasidinero m/e,Cuasidinero m/e,Mensual,,
1480,Sistema financiero nacional,Sistema financiero nacional,Mensual,,
1481,Cuasidinero m/e,Cuasidinero m/e,Mensual,,
1482,Cuasidinero m/n,Cuasidinero m/n,Mensual,,
1799,Cuasidinero m/e,Cuasidinero m/e,Mensual,,
,Duraderos,Duraderos,Mensual,,
2163,Regulares,Regulares,Mensual,,
2164,Regulares,Regulares,Mensual,,
,Exportaciones FOB,Exportaciones FOB,Mensual,,
33,Preliminares (FUES),Preliminares (FUES),Mensual,,
,Exportaciones FOB acumuladas,Exportaciones FOB acumuladas,Mensual,,
1992,Preliminares (FUES),Preliminares (FUES),Mensual,,
1995,Preliminares (FUES),Preliminares (FUES),Mensual,,
1999,Por principales productos,Por principales productos,Mensual,,
2001,Por principales productos,Por principales productos,Mensual,,
2101,Perfeccionamiento activo,Perfeccionamiento activo,Mensual,,
2103,Zona Franca,Zona Franca,Mensual,,
2226,Por principales países (Régimen regular),Por principales países (Régimen regular),Mensual,,
2227,Por principales países (Régimen regular),Por principales países (Régimen regular),Mensual,,
2228,Centroamérica,Centroamérica,Mensual,,
2229,Centroamérica,Centroamérica,Mensual,,
2230,El Salvador,El Salvador,Mensual,,
2231,El Salvador,El Salvador,Mensual,,
2232,Guatemala,Guatemala,Mensual,,
2233,Guatemala,Guatemala,Mensual,,
2234,Honduras,Honduras,Mensual,,
2235,Honduras,Honduras,Mensual,,
2236,Nicaragua,Nicaragua,Mensual,,
2237,Nicaragua,Nicaragua,Mensual,,
2238,Norteamérica,Norteamérica,Mensual,,
2239,Norteamérica,Norteamérica,Mensual,,
2240,Canadá,Canadá,Mensual,,
2241,Canadá,Canadá,Mensual,,
2242,Estados Unidos de Norteamérica,Estados Unidos de Norteamérica,Mensual,,
2243,Estados Unidos de Norteamérica,Estados Unidos de Norteamérica,Mensual,,
2244,México,México,Mensual,,
2245,México,México,Mensual,,
2246,Otros Latinoamérica,Otros Latinoamérica,Mensual,,
2247,Otros Latinoamérica,Otros Latinoamérica,Mensual,,
2248,Panamá,Panamá,Mensual,,
2249,Panamá,Panamá,Mensual,,
2250,Colombia,Colombia,Mensual,,
2251,Colombia,Colombia,Mensual,,
2252,Venezuela,Venezuela,Mensual,,
2253,Venezuela,Venezuela,Mensual,,
2254,Brasil,Brasil,Mensual,,
2255,Brasil,Brasil,Mensual,,
2256,Argentina,Argentina,Mensual,,
2257,Argentina,Argentina,Mensual,,
2258,Chile,Chile,Mensual,,
2259,Chile,Chile,Mensual,,
2260,Ecuador,Ecuador,Mensual,,
2261,Ecuador,Ecuador,Mensual,,
2262,Perú,Perú,Mensual,,
2263,Perú,Perú,Mensual,,
2264,Bolivia,Bolivia,Mensual,,
2265,Bolivia,Bolivia,Mensual,,
2266,Uruguay,Uruguay,Mensual,,
2267,Uruguay,Uruguay,Mensual,,
2268,Paraguay,Paraguay,Mensual,,
2269,Paraguay,Paraguay,Mensual,,
2270,Resto de Latinomérica,Resto de Latinomérica,Mensual,,
2271,Resto de Latinomérica,Resto de Latinomérica,Mensual,,
2272,Europa,Europa,Mensual,,
2273,Europa,Europa,Mensual,,
2274,Alemania,Alemania,Mensual,,
2275,Alemania,Alemania,Mensual,,
2276,Bélgica-Luxemburgo,Bélgica-Luxemburgo,Mensual,,
2277,Bélgica-Luxemburgo,Bélgica-Luxemburgo,Mensual,,
2278,Dinamarca,Dinamarca,Mensual,,
2279,Dinamarca,Dinamarca,Mensual,,
2280,España,España,Mensual,,
2281,España,España,Mensual,,
2282,Francia,Francia,Mensual,,
2283,Francia,Francia,Mensual,,
2284,Irlanda,Irlanda,Mensual,,
2285,Irlanda,Irlanda,Mensual,,
2286,Italia,Italia,Mensual,,
2287,Italia,Italia,Mensual,,
2288,Países Bajos,Países Bajos,Mensual,,
2289,Países Bajos,Países Bajos,Mensual,,
2290,Portugal,Portugal,Mensual,,
2291,Portugal,Portugal,Mensual,,
2292,Reino Unido,Reino Unido,Mensual,,
2293,Reino Unido,Reino Unido,Mensual,,
2294,Suecia,Suecia,Mensual,,
2295,Suecia,Suecia,Mensual,,
2296,Suiza,Suiza,Mensual,,
2297,Suiza,Suiza,Mensual,,
2298,Finlandia,Finlandia,Mensual,,
2299,Finlandia,Finlandia,Mensual,,
2300,Grecia,Grecia,Mensual,,
2301,Grecia,Grecia,Mensual,,
2302,Otros Europa,Otros Europa,Mensual,,
2303,Otros Europa,Otros Europa,Mensual,,
2304,Comunidad del Caribe,Comunidad del Caribe,Mensual,,
2305,Comunidad del Caribe,Comunidad del Caribe,Mensual,,
2306,Barbados,Barbados,Mensual,,
2307,Barbados,Barbados,Mensual,,
2308,Belice,Belice,Mensual,,
2309,Belice,Belice,Mensual,,
2310,Guyana,Guyana,Mensual,,
2311,Guyana,Guyana,Mensual,,
2312,Trinidad y Tobago,Trinidad y Tobago,Mensual,,
2313,Trinidad y Tobago,Trinidad y Tobago,Mensual,,
2314,Resto (Jam Ant Domin Gran Mons San Crist Sant Luc Vic),Resto (Jam Ant Domin Gran Mons San Crist Sant Luc Vic),Mensual,,
2315,Resto (Jam Ant Domin Gran Mons San Crist Sant Luc Vic),Resto (Jam Ant Domin Gran Mons San Crist Sant Luc Vic),Mensual,,
2316,Asia,Asia,Mensual,,
2317,Asia,Asia,Mensual,,
2318,Corea del Sur,Corea del Sur,Mensual,,
2319,Corea del Sur,Corea del Sur,Mensual,,
2320,China-Taiwán,China-Taiwán,Mensual,,
2321,China-Taiwán,China-Taiwán,Mensual,,
2322,Hong Kong,Hong Kong,Mensual,,
2323,Hong Kong,Hong Kong,Mensual,,
2324,Japón,Japón,Mensual,,
2325,Japón,Japón,Mensual,,
2328,Resto de Asia,Resto de Asia,Mensual,,
2329,Resto de Asia,Resto de Asia,Mensual,,
2330,Oceanía,Oceanía,Mensual,,
2331,Oceanía,Oceanía,Mensual,,
2332,Africa,Africa,Mensual,,
2333,Africa,Africa,Mensual,,
2334,Otros Países,Otros Países,Mensual,,
2335,Otros Países,Otros Países,Mensual,,
,Importaciones CIF acumuladas,Importaciones CIF acumuladas,Mensual,,
1993,Preliminares (FUES),Preliminares (FUES),Mensual,,
1996,Preliminares (FUES),Preliminares (FUES),Mensual,,
2147,Por categorías económicas,Por categorías económicas,Mensual,,
2345,Por principales países (Régimen regular),Por principales países (Régimen regular),Mensual,,
2346,Por principales países (Régimen regular),Por principales países (Régimen regular),Mensual,,
2347,Centroamérica,Centroamérica,Mensual,,
2348,Centroamérica,Centroamérica,Mensual,,
2352,El Salvador,El Salvador,Mensual,,
2354,Guatemala,Guatemala,Mensual,,
2356,Honduras,Honduras,Mensual,,
2358,Nicaragua,Nicaragua,Mensual,,
2360,America del Norte,America del Norte,Mensual,,
2368,Otros Latinoamérica,Otros Latinoamérica,Mensual,,
2369,Otros Latinoamérica,Otros Latinoamérica,Mensual,,
2370,Panamá,Panamá,Mensual,,
2372,Colombia,Colombia,Mensual,,
2374,Venezuela,Venezuela,Mensual,,
2376,Brasil,Brasil,Mensual,,
2378,Argentina,Argentina,Mensual,,
2380,Chile,Chile,Mensual,,
2382,Ecuador,Ecuador,Mensual,,
2384,Perú,Perú,Mensual,,
2386,Bolivia,Bolivia,Mensual,,
2388,Uruguay,Uruguay,Mensual,,
2390,Paraguay,Paraguay,Mensual,,
2392,Resto de Latinoaméreica,Resto de Latinoaméreica,Mensual,,
2394,Europa,Europa,Mensual,,
2395,Europa,Europa,Mensual,,
2396,Alemania,Alemania,Mensual,,
2398,Bélgica-Luxemburgo,Bélgica-Luxemburgo,Mensual,,
2400,Dinamarca,Dinamarca,Mensual,,
2402,España,España,Mensual,,
2404,Francia,Francia,Mensual,,
2406,Grecia,Grecia,Mensual,,
2408,Irlanda,Irlanda,Mensual,,
2410,Italia,Italia,Mensual,,
2412,Portugal,Portugal,Mensual,,
2414,Portugal,Portugal,Mensual,,
2416,Reino Unido,Reino Unido,Mensual,,
2418,Suecia,Suecia,Mensual,,
2420,Suiza,Suiza,Mensual,,
2422,Finlandia,Finlandia,Mensual,,
2424,Resto de Europa,Resto de Europa,Mensual,,
2426,Comunidad del Caribe,Comunidad del Caribe,Mensual,,
2427,Comunidad del Caribe,Comunidad del Caribe,Mensual,,
2428,Barbados,Barbados,Mensual,,
2430,Belice,Belice,Mensual,,
2432,Guyana,Guyana,Mensual,,
2434,Trinidad y Tobago,Trinidad y Tobago,Mensual,,
2436,Resto (Jam Ant Domin Gran Mons San Crist Sant Luc Vic),Resto (Jam Ant Domin Gran Mons San Crist Sant Luc Vic),Mensual,,
2438,Asia,Asia,Mensual,,
2439,Asia,Asia,Mensual,,
2440,Corea del Sur,Corea del Sur,Mensual,,
2442,China-Taiwán,China-Taiwán,Mensual,,
2444,Hong Kong,Hong Kong,Mensual,,
2446,Japón,Japón,Mensual,,
2448,Resto de Asia,Resto de Asia,Mensual,,
2450,Oceanía,Oceanía,Mensual,,
2452,África,África,Mensual,,
2454,Otros Países,Otros Países,Mensual,,
2625,America del Norte,America del Norte,Mensual,,
2362,Canadá,Canadá,Mensual,,
2364,Estados Unidos de Norteamérica,Estados Unidos de Norteamérica,Mensual,,
2366,México,México,Mensual,,
,Indicadores que caracterizan la población y los hogares,Indicadores que caracterizan la población y los hogares,Anual,,
949,Población Total (PT),Población Total (PT),Anual,,
953,Tasa Bruta de participación (FT/PT),Tasa Bruta de participación (FT/PT),Anual,,
,Indicadores Socioeconómicos Generales,Indicadores Socioeconómicos Generales,Anual,,
,Indicadores de empleo y desempleo encuestra de hogares,Indicadores de empleo y desempleo encuestra de hogares,Anual,,
,Total ocupados por Sector,Total ocupados por Sector,Anual,,
,Total ocupados por Sector,Total ocupados por Sector,Anual,,
3785,Total ocupados por Sector,Total ocupados por Sector,Anual,,
944,Sector privado,Sector privado,Anual,,
,Total ocupados Sector Público,Total ocupados Sector Público,Anual,,
,Total ocupados Sector Público,Total ocupados Sector Público,Anual,,
945,Sector público,Sector público,Anual,,
